desvio_valor_signed,desvio_valor_abs,desvio_valor_pct,diff_vencimento_dias,cnpj_divergente,banco_divergente,reputacao_score,historico_fraude,dias_desde_abertura,label
0.0,0.0,0.0,0,0,0,40,3,78,fraude
-12.67,12.67,0.006937,0,0,0,100,1,5167,fraude
0.0,0.0,0.0,0,0,1,90,0,2849,seguro
0.0,0.0,0.0,0,0,0,5,3,518,fraude
0.0,0.0,0.0,0,0,0,100,1,5167,seguro
18.78,18.78,0.005389,4,0,0,100,1,5167,fraude
-37.34,37.34,0.007662,1,0,0,30,0,111,fraude
21991.16,21991.16,2.63129,0,0,1,10,1,39,fraude
0.72,0.72,0.000176,0,1,0,30,0,111,fraude
0.0,0.0,0.0,1,0,0,10,1,39,fraude
0.0,0.0,0.0,74,1,0,5,3,518,fraude
-315.02,315.02,0.432079,68,0,0,5,3,518,fraude
0.27,0.27,0.000194,0,0,0,10,1,39,fraude
-17.38,17.38,0.003484,6,0,0,30,0,111,fraude
0.0,0.0,0.0,6,1,0,88,3,3229,fraude
0.0,0.0,0.0,0,0,0,10,1,39,fraude
-38.19,38.19,0.005028,1,0,0,88,3,3229,fraude
0.0,0.0,0.0,35,1,0,85,0,975,fraude
0.0,0.0,0.0,0,0,0,100,1,5167,seguro
0.0,0.0,0.0,2,0,0,90,0,2849,seguro
0.0,0.0,0.0,1,1,0,95,0,2295,suspeito
-37.15,37.15,0.006871,0,0,0,30,0,111,fraude
-148.11,148.11,0.566105,48,1,1,85,0,975,fraude
0.62,0.62,0.000153,8,0,1,30,0,111,fraude
0.0,0.0,0.0,0,0,0,30,0,111,seguro
0.0,0.0,0.0,82,1,0,100,1,5167,fraude
-5332.09,5332.09,0.542751,34,0,1,10,1,39,fraude
-30.78,30.78,0.003264,0,0,0,88,3,3229,fraude
-4706.38,4706.38,0.569039,0,0,0,95,0,2295,fraude
0.0,0.0,0.0,7,0,0,30,0,111,fraude
-5.48,5.48,0.000921,4,0,0,0,3,1701,fraude
-6973.68,6973.68,0.729561,1,0,1,95,0,2295,fraude
0.0,0.0,0.0,0,0,0,88,3,3229,suspeito
0.0,0.0,0.0,7,0,0,100,1,5167,suspeito
33.26,33.26,0.003783,4,0,0,30,0,111,fraude
0.0,0.0,0.0,1,0,0,0,3,1701,fraude
-59.4,59.4,0.587015,11,0,0,40,3,78,fraude
0.0,0.0,0.0,0,0,0,40,3,78,fraude
-48.19,48.19,0.006322,0,0,0,95,0,2295,suspeito
-4.32,4.32,0.000461,0,0,1,10,1,39,fraude
-707.35,707.35,0.891756,1,0,0,5,3,518,fraude
0.0,0.0,0.0,0,0,0,90,0,2849,seguro
0.94,0.94,0.000576,0,0,0,5,3,518,fraude
12.27,12.27,0.001459,0,0,0,90,0,2849,suspeito
0.0,0.0,0.0,0,1,0,5,3,518,fraude
0.96,0.96,0.000111,0,0,0,85,0,975,seguro
15.41,15.41,0.067668,12,0,0,90,0,2849,fraude
-22.08,22.08,0.017042,0,0,1,40,3,78,fraude
3303.99,3303.99,0.757655,0,0,0,88,3,3229,fraude
-43.15,43.15,0.014617,9,0,0,10,1,39,fraude
28.42,28.42,0.004583,0,0,0,10,1,39,fraude
0.0,0.0,0.0,3,0,0,30,0,111,suspeito
0.0,0.0,0.0,1,0,0,85,0,975,seguro
-31.03,31.03,0.005199,0,0,0,10,1,39,fraude
-30.28,30.28,0.00457,8,0,0,40,3,78,fraude
30.07,30.07,0.006812,1,0,0,5,3,518,fraude
-0.05,0.05,6e-06,0,1,0,88,3,3229,fraude
32415.15,32415.15,3.253383,0,0,1,100,1,5167,fraude
-0.35,0.35,4.7e-05,0,0,1,5,3,518,fraude
-2.44,2.44,0.000472,0,0,0,30,0,111,fraude
-1166.41,1166.41,0.196237,1,0,0,95,0,2295,fraude
-0.6,0.6,7.7e-05,1,0,0,95,0,2295,seguro
-1033.66,1033.66,0.411825,0,0,0,0,3,1701,fraude
0.0,0.0,0.0,0,0,1,10,1,39,fraude
0.24,0.24,2.5e-05,0,0,0,90,0,2849,seguro
0.0,0.0,0.0,0,0,0,5,3,518,fraude
0.0,0.0,0.0,0,0,0,0,3,1701,fraude
-1127.97,1127.97,0.192018,0,0,1,88,3,3229,fraude
0.93,0.93,0.000735,0,0,1,30,0,111,suspeito
0.68,0.68,0.00017,0,0,0,5,3,518,fraude
-7.16,7.16,0.00207,0,1,0,85,0,975,fraude
0.0,0.0,0.0,1,0,0,40,3,78,fraude
-3204.23,3204.23,0.517013,0,0,0,85,0,975,fraude
-4492.98,4492.98,0.745592,1,0,0,30,0,111,fraude
32634.11,32634.11,3.763566,0,0,0,0,3,1701,fraude
0.0,0.0,0.0,1,0,0,85,0,975,seguro
-1.28,1.28,0.001027,0,0,0,30,0,111,fraude
-30.23,30.23,0.007882,0,0,1,100,1,5167,fraude
-27.58,27.58,0.003626,75,0,1,5,3,518,fraude
0.0,0.0,0.0,0,0,0,5,3,518,fraude
-41.3,41.3,0.005761,0,0,1,85,0,975,fraude
0.0,0.0,0.0,0,0,0,0,3,1701,fraude
0.0,0.0,0.0,4,0,1,100,1,5167,suspeito
16591.93,16591.93,4.118065,0,1,0,85,0,975,fraude
0.0,0.0,0.0,77,1,0,88,3,3229,fraude
0.0,0.0,0.0,0,0,0,88,3,3229,suspeito
0.0,0.0,0.0,33,0,0,5,3,518,fraude
42.71,42.71,0.013978,1,0,0,100,1,5167,suspeito
43.28,43.28,0.025137,0,1,1,100,1,5167,fraude
-12.37,12.37,0.002031,0,0,0,95,0,2295,suspeito
1.78,1.78,0.000397,0,0,0,10,1,39,fraude
0.0,0.0,0.0,0,1,0,10,1,39,fraude
0.0,0.0,0.0,0,1,0,10,1,39,fraude
-34.33,34.33,0.012493,0,0,0,100,1,5167,fraude
23.8,23.8,0.00425,0,0,0,10,1,39,fraude
-0.42,0.42,0.000241,5,0,0,0,3,1701,fraude
38.66,38.66,0.155099,0,0,1,88,3,3229,fraude
7.26,7.26,0.00775,7,0,1,10,1,39,fraude
0.0,0.0,0.0,0,0,0,85,0,975,seguro
-1414.34,1414.34,0.150035,8,0,0,40,3,78,fraude
-36.35,36.35,0.005378,0,0,0,95,0,2295,suspeito
0.0,0.0,0.0,0,0,0,100,1,5167,seguro
-7.82,7.82,0.002466,7,0,0,10,1,39,fraude
-6.97,6.97,0.000844,0,0,0,0,3,1701,fraude
0.0,0.0,0.0,1,0,0,90,0,2849,seguro
0.0,0.0,0.0,3,0,0,40,3,78,fraude
0.0,0.0,0.0,0,0,0,0,3,1701,fraude
0.0,0.0,0.0,0,0,0,40,3,78,fraude
-4299.58,4299.58,0.653983,8,0,0,90,0,2849,fraude
0.18,0.18,3.4e-05,0,0,0,40,3,78,fraude
7.72,7.72,0.00293,0,0,1,10,1,39,fraude
0.0,0.0,0.0,0,1,0,85,0,975,suspeito
0.0,0.0,0.0,0,0,0,100,1,5167,seguro
0.0,0.0,0.0,0,0,0,85,0,975,seguro
0.0,0.0,0.0,0,0,0,30,0,111,seguro
-33.31,33.31,0.007176,9,0,0,88,3,3229,fraude
-34.33,34.33,0.004647,0,1,0,100,1,5167,fraude
0.0,0.0,0.0,30,0,0,95,0,2295,seguro
13.99,13.99,0.002113,0,1,0,100,1,5167,fraude
-19.72,19.72,0.00256,0,1,0,88,3,3229,fraude
-1428.37,1428.37,0.297042,0,0,0,5,3,518,fraude
-31.21,31.21,0.00339,0,1,0,100,1,5167,fraude
-0.61,0.61,0.00014,39,0,0,88,3,3229,fraude
-15.01,15.01,0.001691,8,0,0,95,0,2295,fraude
28.33,28.33,0.002895,0,1,0,100,1,5167,fraude
-430.49,430.49,0.043716,0,1,0,10,1,39,fraude
0.0,0.0,0.0,0,0,0,95,0,2295,seguro
-34.76,34.76,0.011546,8,0,0,95,0,2295,fraude
49.6,49.6,0.019805,0,0,0,88,3,3229,fraude
31.18,31.18,0.005595,0,0,0,0,3,1701,fraude
-132.93,132.93,0.015811,1,0,0,5,3,518,fraude
0.5,0.5,5.9e-05,0,0,0,95,0,2295,seguro
-0.69,0.69,0.000175,0,0,0,5,3,518,fraude
-0.87,0.87,0.000223,0,0,0,0,3,1701,fraude
-40.44,40.44,0.006679,0,0,0,88,3,3229,fraude
0.0,0.0,0.0,7,0,0,95,0,2295,seguro
0.0,0.0,0.0,0,1,0,40,3,78,fraude
-21.64,21.64,0.002318,1,0,0,0,3,1701,fraude
-10.04,10.04,0.001749,0,0,1,40,3,78,fraude
-35.19,35.19,0.005986,60,0,0,30,0,111,fraude
-0.93,0.93,0.000192,1,0,1,100,1,5167,suspeito
-0.72,0.72,0.000144,7,0,0,40,3,78,fraude
0.0,0.0,0.0,0,0,0,0,3,1701,fraude
48.77,48.77,0.017466,0,0,0,95,0,2295,suspeito
0.0,0.0,0.0,66,0,0,90,0,2849,seguro
0.0,0.0,0.0,1,0,0,40,3,78,fraude
0.0,0.0,0.0,1,0,0,5,3,518,fraude
0.0,0.0,0.0,0,0,0,95,0,2295,seguro
-6.62,6.62,0.001175,3,0,0,10,1,39,fraude
0.0,0.0,0.0,0,0,0,30,0,111,seguro
-4.05,4.05,0.00062,0,0,0,95,0,2295,suspeito
0.0,0.0,0.0,0,0,0,95,0,2295,seguro
-8.92,8.92,0.006829,0,0,0,88,3,3229,fraude
-5.61,5.61,0.001001,0,0,0,5,3,518,fraude
0.0,0.0,0.0,4,0,0,40,3,78,fraude
29.3,29.3,0.010079,1,0,0,88,3,3229,fraude
-9.14,9.14,0.002029,1,0,0,5,3,518,fraude
-2.64,2.64,0.000518,0,0,0,88,3,3229,fraude
0.0,0.0,0.0,1,0,0,10,1,39,fraude
16.83,16.83,0.013271,68,0,1,40,3,78,fraude
0.0,0.0,0.0,0,0,0,0,3,1701,fraude
-35.8,35.8,0.004366,0,0,0,0,3,1701,fraude
-3902.19,3902.19,0.475785,0,1,1,85,0,975,fraude
0.0,0.0,0.0,0,0,0,30,0,111,seguro
-5622.39,5622.39,0.760421,0,1,0,10,1,39,fraude
-4.41,4.41,0.001343,0,0,0,85,0,975,suspeito
-15.96,15.96,0.002294,0,1,0,95,0,2295,fraude
-6483.04,6483.04,0.690704,6,0,0,90,0,2849,fraude
0.0,0.0,0.0,0,0,0,10,1,39,fraude
-0.04,0.04,0.000175,31,0,0,90,0,2849,suspeito
26123.61,26123.61,3.108976,1,0,0,0,3,1701,fraude
0.0,0.0,0.0,1,0,1,95,0,2295,seguro
0.0,0.0,0.0,1,1,0,100,1,5167,fraude
0.0,0.0,0.0,0,0,0,88,3,3229,suspeito
29.09,29.09,0.010717,1,0,0,95,0,2295,suspeito
-2.6,2.6,0.000352,3,0,0,30,0,111,fraude
30.49,30.49,0.00697,6,0,0,10,1,39,fraude
12.63,12.63,0.002127,0,1,0,10,1,39,fraude
0.97,0.97,0.000352,0,0,0,85,0,975,seguro
0.05,0.05,1.4e-05,0,0,0,85,0,975,seguro
-0.47,0.47,9.9e-05,1,0,0,88,3,3229,suspeito
0.0,0.0,0.0,0,0,0,30,0,111,seguro
0.0,0.0,0.0,0,0,0,10,1,39,fraude
-2.45,2.45,0.000278,1,1,0,95,0,2295,fraude
30.79,30.79,0.003391,0,0,0,88,3,3229,fraude
-63.59,63.59,0.008798,1,0,1,5,3,518,fraude
0.37,0.37,9.6e-05,0,0,0,90,0,2849,seguro
0.0,0.0,0.0,1,0,0,30,0,111,suspeito
0.0,0.0,0.0,0,0,0,5,3,518,fraude
-121.41,121.41,0.097162,0,1,1,10,1,39,fraude
0.0,0.0,0.0,71,0,0,30,0,111,suspeito
0.0,0.0,0.0,0,0,0,40,3,78,fraude
-0.79,0.79,0.0001,5,0,0,10,1,39,fraude
-19.19,19.19,0.005955,1,0,0,40,3,78,fraude
0.0,0.0,0.0,8,0,1,100,1,5167,fraude
0.0,0.0,0.0,0,0,0,85,0,975,seguro
-28.42,28.42,0.003373,0,0,0,85,0,975,suspeito
-7.65,7.65,0.000783,0,0,0,88,3,3229,fraude
0.29,0.29,3.8e-05,46,0,0,10,1,39,fraude
12209.47,12209.47,2.731993,0,0,0,40,3,78,fraude
-835.77,835.77,0.33341,6,0,1,10,1,39,fraude
-18.02,18.02,0.001864,1,1,0,100,1,5167,fraude
15.72,15.72,0.002006,0,0,0,95,0,2295,suspeito
0.0,0.0,0.0,0,0,0,40,3,78,fraude
7.12,7.12,0.005274,5,0,1,10,1,39,fraude
0.97,0.97,0.000634,0,0,0,10,1,39,fraude
-0.6,0.6,0.000106,60,0,0,30,0,111,fraude
-40.52,40.52,0.006707,0,0,1,95,0,2295,fraude
0.0,0.0,0.0,70,0,1,10,1,39,fraude
34.93,34.93,0.005068,0,0,0,10,1,39,fraude
49.54,49.54,0.009331,0,0,1,88,3,3229,fraude
0.0,0.0,0.0,1,1,1,40,3,78,fraude
0.0,0.0,0.0,0,1,0,95,0,2295,suspeito
-31.97,31.97,0.010326,1,0,1,10,1,39,fraude
3.46,3.46,0.000435,0,0,0,85,0,975,seguro
-2383.66,2383.66,0.83755,0,0,0,85,0,975,fraude
0.0,0.0,0.0,0,0,0,0,3,1701,fraude
-2973.75,2973.75,0.412338,7,1,0,30,0,111,fraude
0.0,0.0,0.0,1,1,0,90,0,2849,suspeito
0.29,0.29,0.000105,0,0,1,88,3,3229,fraude
0.0,0.0,0.0,0,0,1,30,0,111,suspeito
0.0,0.0,0.0,73,0,0,85,0,975,seguro
44.7,44.7,0.014111,0,0,0,85,0,975,suspeito
-25.2,25.2,0.026853,0,0,0,95,0,2295,suspeito
0.0,0.0,0.0,1,0,0,30,0,111,suspeito
-3.36,3.36,0.000429,0,0,0,90,0,2849,suspeito
1.14,1.14,0.000179,6,0,0,85,0,975,suspeito
-24.14,24.14,0.011179,2,0,0,85,0,975,fraude
16.47,16.47,0.002521,1,0,0,88,3,3229,fraude
0.0,0.0,0.0,0,0,0,10,1,39,fraude
0.0,0.0,0.0,11,1,0,100,1,5167,fraude
17.18,17.18,0.047374,33,0,0,5,3,518,fraude
38.87,38.87,0.012328,0,0,0,30,0,111,fraude
0.0,0.0,0.0,0,0,0,100,1,5167,seguro
0.0,0.0,0.0,0,1,0,40,3,78,fraude
-3364.24,3364.24,0.610969,0,0,0,90,0,2849,fraude
46.93,46.93,0.005215,1,0,1,90,0,2849,fraude
7025.05,7025.05,1.202306,0,0,0,5,3,518,fraude
0.0,0.0,0.0,0,0,0,30,0,111,seguro
-883.77,883.77,0.584396,0,0,0,95,0,2295,fraude
-3.97,3.97,0.000547,1,0,0,88,3,3229,fraude
-0.14,0.14,2.2e-05,36,0,0,90,0,2849,suspeito
0.0,0.0,0.0,0,0,0,85,0,975,seguro
0.0,0.0,0.0,9,0,0,88,3,3229,fraude
9995.26,9995.26,4.974226,1,0,0,0,3,1701,fraude
-4.58,4.58,0.001041,1,0,0,100,1,5167,fraude
-2765.45,2765.45,0.698646,0,0,0,40,3,78,fraude
-38.81,38.81,0.023255,0,1,1,30,0,111,fraude
0.0,0.0,0.0,9,0,0,5,3,518,fraude
0.0,0.0,0.0,0,0,0,10,1,39,fraude
0.0,0.0,0.0,2,0,1,85,0,975,seguro
-0.28,0.28,0.000449,1,0,0,95,0,2295,seguro
0.0,0.0,0.0,19,0,0,30,0,111,fraude
0.0,0.0,0.0,6,0,0,100,1,5167,suspeito
14.84,14.84,0.002859,0,0,0,100,1,5167,fraude
41.33,41.33,0.010232,3,0,0,88,3,3229,fraude
-18.85,18.85,0.050072,0,0,0,40,3,78,fraude
0.0,0.0,0.0,1,0,0,88,3,3229,suspeito
0.0,0.0,0.0,0,1,0,30,0,111,fraude
-0.52,0.52,0.010375,0,0,0,0,3,1701,fraude
0.0,0.0,0.0,0,0,0,95,0,2295,seguro
-2855.71,2855.71,0.384252,0,0,0,90,0,2849,fraude
0.0,0.0,0.0,7,0,0,10,1,39,fraude
9.2,9.2,0.001683,2,0,0,40,3,78,fraude
0.0,0.0,0.0,1,0,0,90,0,2849,seguro
-2782.35,2782.35,0.747072,1,0,0,95,0,2295,fraude
0.0,0.0,0.0,0,1,0,40,3,78,fraude
14522.57,14522.57,4.284803,1,0,0,10,1,39,fraude
-19.97,19.97,0.004117,52,0,1,95,0,2295,fraude
-587.36,587.36,0.095068,1,0,0,5,3,518,fraude
43.27,43.27,0.00853,0,0,0,100,1,5167,fraude
-31.63,31.63,0.003906,0,0,0,5,3,518,fraude
-4684.62,4684.62,0.816297,0,0,1,40,3,78,fraude
0.0,0.0,0.0,0,0,0,30,0,111,seguro
15.0,15.0,0.020545,0,0,0,100,1,5167,suspeito
0.0,0.0,0.0,63,0,0,85,0,975,suspeito
0.0,0.0,0.0,66,1,0,88,3,3229,fraude
1083.72,1083.72,0.590686,0,0,0,5,3,518,fraude
0.0,0.0,0.0,0,0,0,40,3,78,fraude
0.0,0.0,0.0,1,0,0,5,3,518,fraude
-32.78,32.78,0.005454,0,1,0,90,0,2849,fraude
-29.59,29.59,0.006526,0,0,1,5,3,518,fraude
0.0,0.0,0.0,5,0,0,10,1,39,fraude
-13.4,13.4,0.065951,0,0,0,30,0,111,fraude
0.0,0.0,0.0,0,0,1,10,1,39,fraude
-0.26,0.26,2.8e-05,0,0,1,100,1,5167,suspeito
11.0,11.0,0.001636,1,0,1,0,3,1701,fraude
0.0,0.0,0.0,0,0,0,90,0,2849,seguro
-30.15,30.15,0.01375,0,0,0,95,0,2295,suspeito
0.0,0.0,0.0,4,0,0,95,0,2295,seguro
-0.21,0.21,2.7e-05,8,0,0,95,0,2295,suspeito
0.0,0.0,0.0,3,0,0,10,1,39,fraude
0.0,0.0,0.0,3,0,0,90,0,2849,seguro
0.0,0.0,0.0,0,1,0,5,3,518,fraude
-459.0,459.0,0.11148,0,0,0,85,0,975,fraude
-5456.08,5456.08,0.618405,0,0,0,85,0,975,fraude
4.76,4.76,0.001841,6,0,0,40,3,78,fraude
0.0,0.0,0.0,0,0,0,100,1,5167,seguro
0.0,0.0,0.0,0,0,0,95,0,2295,seguro
-0.02,0.02,4e-06,0,0,0,40,3,78,fraude
43.29,43.29,0.01001,0,0,0,40,3,78,fraude
0.0,0.0,0.0,0,0,0,10,1,39,fraude
0.0,0.0,0.0,0,0,0,90,0,2849,seguro
29.02,29.02,0.008561,18,0,0,95,0,2295,fraude
-21.19,21.19,0.012051,3,1,0,5,3,518,fraude
-1996.97,1996.97,0.400817,26,0,0,30,0,111,fraude
30.96,30.96,0.003253,4,0,0,30,0,111,fraude
44.2,44.2,0.019576,1,0,0,100,1,5167,fraude
0.0,0.0,0.0,7,0,0,0,3,1701,fraude
0.08,0.08,9e-06,0,0,0,0,3,1701,fraude
-3677.76,3677.76,0.49408,75,0,0,0,3,1701,fraude
-16.74,16.74,0.001679,0,0,0,90,0,2849,suspeito
0.0,0.0,0.0,39,0,0,90,0,2849,seguro
-5.67,5.67,0.001506,0,1,0,30,0,111,fraude
1.72,1.72,0.000253,0,0,0,40,3,78,fraude
0.0,0.0,0.0,0,0,0,0,3,1701,fraude
-8.67,8.67,0.001492,0,0,0,5,3,518,fraude
0.0,0.0,0.0,1,0,0,88,3,3229,suspeito
0.0,0.0,0.0,0,0,0,30,0,111,seguro
-13.94,13.94,0.005058,70,0,0,30,0,111,fraude
0.0,0.0,0.0,8,0,0,90,0,2849,seguro
37.64,37.64,0.004778,0,0,0,10,1,39,fraude
-43.05,43.05,0.005217,2,0,0,95,0,2295,fraude
-0.66,0.66,8.9e-05,0,0,0,88,3,3229,fraude
-7354.8,7354.8,0.765046,0,1,1,30,0,111,fraude
0.0,0.0,0.0,3,0,0,100,1,5167,suspeito
-43.36,43.36,0.007666,1,0,0,5,3,518,fraude
20.07,20.07,0.004509,0,0,0,95,0,2295,suspeito
0.44,0.44,6.9e-05,0,0,0,100,1,5167,seguro
0.0,0.0,0.0,0,0,0,10,1,39,fraude
0.0,0.0,0.0,1,0,1,100,1,5167,suspeito
-30.37,30.37,0.018931,0,0,0,10,1,39,fraude
30.88,30.88,0.128405,1,0,0,85,0,975,suspeito
0.4,0.4,7.4e-05,0,0,0,10,1,39,fraude
-35.43,35.43,0.035632,0,0,0,88,3,3229,fraude
-5245.99,5245.99,0.595075,0,0,0,90,0,2849,fraude
0.0,0.0,0.0,0,0,0,88,3,3229,suspeito
-4347.06,4347.06,0.700126,0,0,0,40,3,78,fraude
0.0,0.0,0.0,0,1,0,5,3,518,fraude
0.0,0.0,0.0,41,0,0,85,0,975,seguro
0.0,0.0,0.0,1,0,1,88,3,3229,fraude
0.0,0.0,0.0,1,1,0,5,3,518,fraude
0.0,0.0,0.0,0,0,0,10,1,39,fraude
15.88,15.88,0.003301,0,1,0,100,1,5167,fraude
0.0,0.0,0.0,0,0,0,5,3,518,fraude
43.25,43.25,0.006466,0,0,0,85,0,975,suspeito
-28.42,28.42,0.006002,1,0,0,85,0,975,suspeito
-21.39,21.39,0.016761,0,0,0,85,0,975,suspeito
